molfrac,T
0.9,333.15
0.1,333.15
0.1007,343.15
0.8993,343.15
0.0539,293.15
0.9461,293.15
0.1029,293.15
0.8971,293.15
0.1983,293.15
0.8017,293.15
0.3022,293.15
0.6978,293.15
0.4028,293.15
0.5972,293.15
0.4927,293.15
0.5073,293.15
0.5953,293.15
0.4047,293.15
0.6978,293.15
0.3022,293.15
0.7992,293.15
0.2008,293.15
0.9002,293.15
0.0998,293.15
0.0692,298.15
0.9308,298.15
0.1142,298.15
0.8858,298.15
0.2058,298.15
0.7942,298.15
0.3084,298.15
0.6916,298.15
0.4053,298.15
0.5947,298.15
0.5027,298.15
0.4973,298.15
0.6099,298.15
0.3901,298.15
0.6979,298.15
0.3021,298.15
0.8029,298.15
0.1971,298.15
0.9008,298.15
0.0992,298.15
0.299679,308.15
0.700321,308.15
0.402601,308.15
0.597399,308.15
0.0502393,313.15
0.949761,313.15
0.0986335,313.15
0.901367,313.15
0.198272,313.15
0.801728,313.15
0.303289,313.15
0.696711,313.15
0.393583,313.15
0.606417,313.15
0.49955,308.15
0.50045,308.15
0.596833,308.15
0.403167,308.15
0.69938,308.15
0.30062,308.15
0.79907,308.15
0.20093,308.15
0.498167,313.15
0.501833,313.15
0.598622,313.15
0.401378,313.15
0.699464,313.15
0.300536,313.15
0.802521,313.15
0.197479,313.15
0.898537,313.15
0.101463,313.15
0.0504413,308.15
0.949559,308.15
0.0911324,308.15
0.908868,308.15
0.191243,308.15
0.808757,308.15
0.0521,293.15
0.9479,293.15
0.1152,293.15
0.8848,293.15
0.2101,293.15
0.7899,293.15
0.2932,293.15
0.7068,293.15
0.4092,293.15
0.5908,293.15
0.4963,293.15
0.5037,293.15
0.5976,293.15
0.4024,293.15
0.6977,293.15
0.3023,293.15
0.7987,293.15
0.2013,293.15
0.8999,293.15
0.1001,293.15
0.0629,298.15
0.9371,298.15
0.1057,298.15
0.8943,298.15
0.2109,298.15
0.7891,298.15
0.3033,298.15
0.6967,298.15
0.3946,298.15
0.6054,298.15
0.5007,298.15
0.4993,298.15
0.6007,298.15
0.3993,298.15
0.7002,298.15
0.2998,298.15
0.7976,298.15
0.2024,298.15
0.8976,298.15
0.1024,298.15
0.0528601,308.15
0.94714,308.15
0.10098,308.15
0.89902,308.15
0.199696,308.15
0.800304,308.15
0.294924,308.15
0.705076,308.15
0.392977,308.15
0.607023,308.15
0.0509025,313.15
0.949098,313.15
0.0922872,313.15
0.907713,313.15
0.19908,313.15
0.80092,313.15
0.303235,313.15
0.696765,313.15
0.400435,313.15
0.599565,313.15
0.497472,308.15
0.502528,308.15
0.581438,308.15
0.418562,308.15
0.697795,308.15
0.302205,308.15
0.800822,308.15
0.199178,308.15
0.897423,308.15
0.102577,308.15
0.496146,313.15
0.503854,313.15
0.591816,313.15
0.408184,313.15
0.700434,313.15
0.299566,313.15
0.7975,313.15
0.2025,313.15
0.899704,313.15
0.100296,313.15
0.8594,298.144
0.1406,298.144
0.6674,298.144
0.3326,298.144
0.4722,298.144
0.5278,298.144
0.3279,298.144
0.6721,298.144
0.2172,298.144
0.7828,298.144
0.1887,298.144
0.8113,298.144
0.1152,298.144
0.8848,298.144
0.8594,308.142
0.1406,308.142
0.6674,308.142
0.3326,308.142
0.4722,308.142
0.5278,308.142
0.3279,308.142
0.6721,308.142
0.2172,308.142
0.7828,308.142
0.1887,308.142
0.8113,308.142
0.1152,308.142
0.8848,308.142
0.8392,298.144
0.1608,298.144
0.7099,298.144
0.2901,298.144
0.5765,298.144
0.4235,298.144
0.4665,298.144
0.5335,298.144
0.3608,298.144
0.6392,298.144
0.2593,298.144
0.7407,298.144
0.1661,298.144
0.8339,298.144
0.0809,298.144
0.9191,298.144
0.1035,298.15
0.8965,298.15
0.205,298.15
0.795,298.15
0.3221,298.15
0.6779,298.15
0.365,298.15
0.635,298.15
0.5071,298.15
0.4929,298.15
0.6494,298.15
0.3506,298.15
0.8136,298.15
0.1864,298.15
0.91,298.15
0.09,298.15
0.1035,308.15
0.8965,308.15
0.205,308.15
0.795,308.15
0.3221,308.15
0.6779,308.15
0.365,308.15
0.635,308.15
0.5071,308.15
0.4929,308.15
0.6494,308.15
0.3506,308.15
0.8136,308.15
0.1864,308.15
0.91,308.15
0.09,308.15
0.7677,293.138
0.2323,293.138
0.5293,293.138
0.4707,293.138
0.4573,293.138
0.5427,293.138
0.1392,293.138
0.8608,293.138
0.7677,303.134
0.2323,303.134
0.5293,303.134
0.4707,303.134
0.4573,303.134
0.5427,303.134
0.2876,303.134
0.7124,303.134
0.1392,303.134
0.8608,303.134
0.7677,313.13
0.2323,313.13
0.5293,313.13
0.4707,313.13
0.4573,313.13
0.5427,313.13
0.2876,313.13
0.7124,313.13
0.1392,313.13
0.8608,313.13
0.7677,323.127
0.2323,323.127
0.5293,323.127
0.4707,323.127
0.4573,323.127
0.5427,323.127
0.2876,323.127
0.7124,323.127
0.1392,323.127
0.8608,323.127
0.7677,333.124
0.2323,333.124
0.5293,333.124
0.4707,333.124
0.4573,333.124
0.5427,333.124
0.2876,333.124
0.7124,333.124
0.1392,333.124
0.8608,333.124
0.7677,343.124
0.2323,343.124
0.5293,343.124
0.4707,343.124
0.4573,343.124
0.5427,343.124
0.2876,343.124
0.7124,343.124
0.1392,343.124
0.8608,343.124
0.855,298.136
0.145,298.136
0.7853,298.136
0.2147,298.136
0.7058,298.136
0.2942,298.136
0.5813,298.136
0.4187,298.136
0.5056,298.136
0.4944,298.136
0.4074,298.136
0.5926,298.136
0.3113,298.136
0.6887,298.136
0.2214,298.136
0.7786,298.136
0.1062,298.136
0.8938,298.136
0.0432,298.136
0.9568,298.136
0.855,318.128
0.145,318.128
0.7853,318.128
0.2147,318.128
0.7058,318.128
0.2942,318.128
0.5813,318.128
0.4187,318.128
0.5056,318.128
0.4944,318.128
0.4074,318.128
0.5926,318.128
0.3113,318.128
0.6887,318.128
0.2214,318.128
0.7786,318.128
0.1062,318.128
0.8938,318.128
0.0432,318.128
0.9568,318.128
0.855,338.124
0.145,338.124
0.7853,338.124
0.2147,338.124
0.7058,338.124
0.2942,338.124
0.5813,338.124
0.4187,338.124
0.5056,338.124
0.4944,338.124
0.4074,338.124
0.5926,338.124
0.3113,338.124
0.6887,338.124
0.2214,338.124
0.7786,338.124
0.1062,338.124
0.8938,338.124
0.0432,338.124
0.9568,338.124
0.2,298.136
0.8,298.136
0.2,323.127
0.8,323.127
0.5,298.136
0.5,298.136
0.5,323.127
0.5,323.127
0.1,298.136
0.9,298.136
0.1,308.132
0.9,308.132
0.1,318.128
0.9,318.128
0.1,323.127
0.9,323.127
0.2,298.136
0.8,298.136
0.2,308.132
0.8,308.132
0.2,318.128
0.8,318.128
0.2,323.127
0.8,323.127
0.4,298.136
0.6,298.136
0.4,308.132
0.6,308.132
0.4,318.128
0.6,318.128
0.4,323.127
0.6,323.127
0.5,298.136
0.5,298.136
0.5,308.132
0.5,308.132
0.5,318.128
0.5,318.128
0.5,323.127
0.5,323.127
0.6,298.136
0.4,298.136
0.6,308.132
0.4,308.132
0.6,318.128
0.4,318.128
0.6,323.127
0.4,323.127
0.8,298.136
0.2,298.136
0.8,308.132
0.2,308.132
0.8,318.128
0.2,318.128
0.8,323.127
0.2,323.127
0.9732,298.15
0.0268,298.15
0.8642,298.15
0.1358,298.15
0.7438,298.15
0.2562,298.15
0.6421,298.15
0.3579,298.15
0.5574,298.15
0.4426,298.15
0.4528,298.15
0.5472,298.15
0.3698,298.15
0.6302,298.15
0.2577,298.15
0.7423,298.15
0.1682,298.15
0.8318,298.15
0.0596,298.15
0.9404,298.15
0.8642,303.15
0.1358,303.15
0.7438,303.15
0.2562,303.15
0.6421,303.15
0.3579,303.15
0.5574,303.15
0.4426,303.15
0.4528,303.15
0.5472,303.15
0.3698,303.15
0.6302,303.15
0.2577,303.15
0.7423,303.15
0.1682,303.15
0.8318,303.15
0.0596,303.15
0.9404,303.15
0.9123,308.15
0.0877,308.15
0.8145,308.15
0.1855,308.15
0.705,308.15
0.295,308.15
0.5863,308.15
0.4137,308.15
0.502,308.15
0.498,308.15
0.4035,308.15
0.5965,308.15
0.2892,308.15
0.7108,308.15
0.2096,308.15
0.7904,308.15
0.1017,308.15
0.8983,308.15
0.9123,313.15
0.0877,313.15
0.8145,313.15
0.1855,313.15
0.705,313.15
0.295,313.15
0.5863,313.15
0.4137,313.15
0.502,313.15
0.498,313.15
0.4035,313.15
0.5965,313.15
0.2892,313.15
0.7108,313.15
0.2096,313.15
0.7904,313.15
0.1017,313.15
0.8983,313.15
0.0811,298.144
0.9189,298.144
0.1608,298.144
0.8392,298.144
0.2397,298.144
0.7603,298.144
0.347,298.144
0.653,298.144
0.4606,298.144
0.5394,298.144
0.5818,298.144
0.4182,298.144
0.7041,298.144
0.2959,298.144
0.8394,298.144
0.1606,298.144
0.094,303.15
0.906,303.15
0.1901,303.15
0.8099,303.15
0.2859,303.15
0.7141,303.15
0.3839,303.15
0.6161,303.15
0.4839,303.15
0.5161,303.15
0.5835,303.15
0.4165,303.15
0.6854,303.15
0.3146,303.15
0.7888,303.15
0.2112,303.15
0.8937,303.15
0.1063,303.15
0.094,313.15
0.906,313.15
0.1901,313.15
0.8099,313.15
0.2859,313.15
0.7141,313.15
0.3839,313.15
0.6161,313.15
0.4839,313.15
0.5161,313.15
0.5835,313.15
0.4165,313.15
0.6854,313.15
0.3146,313.15
0.7888,313.15
0.2112,313.15
0.8937,313.15
0.1063,313.15
0.094,323.15
0.906,323.15
0.1901,323.15
0.8099,323.15
0.2859,323.15
0.7141,323.15
0.3839,323.15
0.6161,323.15
0.4839,323.15
0.5161,323.15
0.5835,323.15
0.4165,323.15
0.6854,323.15
0.3146,323.15
0.7888,323.15
0.2112,323.15
0.8937,323.15
0.1063,323.15
0.094,333.15
0.906,333.15
0.1901,333.15
0.8099,333.15
0.2859,333.15
0.7141,333.15
0.3839,333.15
0.6161,333.15
0.4839,333.15
0.5161,333.15
0.5835,333.15
0.4165,333.15
0.6854,333.15
0.3146,333.15
0.7888,333.15
0.2112,333.15
0.8937,333.15
0.1063,333.15
0.094,343.15
0.906,343.15
0.1901,343.15
0.8099,343.15
0.2859,343.15
0.7141,343.15
0.3839,343.15
0.6161,343.15
0.4839,343.15
0.5161,343.15
0.5835,343.15
0.4165,343.15
0.6854,343.15
0.3146,343.15
0.7888,343.15
0.2112,343.15
0.8937,343.15
0.1063,343.15
0.094,353.15
0.906,353.15
0.1901,353.15
0.8099,353.15
0.2859,353.15
0.7141,353.15
0.3839,353.15
0.6161,353.15
0.4839,353.15
0.5161,353.15
0.5835,353.15
0.4165,353.15
0.6854,353.15
0.3146,353.15
0.7888,353.15
0.2112,353.15
0.8937,353.15
0.1063,353.15
0.9138,303.15
0.0862,303.15
0.8196,303.15
0.1804,303.15
0.7411,303.15
0.2589,303.15
0.6478,303.15
0.3522,303.15
0.528,303.15
0.472,303.15
0.4375,303.15
0.5625,303.15
0.3278,303.15
0.6722,303.15
0.2325,303.15
0.7675,303.15
0.1322,303.15
0.8678,303.15
0.0675,303.15
0.9325,303.15
0.9138,313.15
0.0862,313.15
0.8196,313.15
0.1804,313.15
0.7411,313.15
0.2589,313.15
0.6478,313.15
0.3522,313.15
0.528,313.15
0.472,313.15
0.4375,313.15
0.5625,313.15
0.3278,313.15
0.6722,313.15
0.2325,313.15
0.7675,313.15
0.1322,313.15
0.8678,313.15
0.0675,313.15
0.9325,313.15
0.9089,293.15
0.0911,293.15
0.7945,293.15
0.2055,293.15
0.6824,293.15
0.3176,293.15
0.5704,293.15
0.4296,293.15
0.4669,293.15
0.5331,293.15
0.3613,293.15
0.6387,293.15
0.2622,293.15
0.7378,293.15
0.1678,293.15
0.8322,293.15
0.0755,293.15
0.9245,293.15
0.9089,303.15
0.0911,303.15
0.7945,303.15
0.2055,303.15
0.6824,303.15
0.3176,303.15
0.5704,303.15
0.4296,303.15
0.4669,303.15
0.5331,303.15
0.3613,303.15
0.6387,303.15
0.2622,303.15
0.7378,303.15
0.1678,303.15
0.8322,303.15
0.0755,303.15
0.9245,303.15
0.9089,313.15
0.0911,313.15
0.7945,313.15
0.2055,313.15
0.6824,313.15
0.3176,313.15
0.5704,313.15
0.4296,313.15
0.4669,313.15
0.5331,313.15
0.3613,313.15
0.6387,313.15
0.2622,313.15
0.7378,313.15
0.1678,313.15
0.8322,313.15
0.0755,313.15
0.9245,313.15
0.109,298.15
0.891,298.15
0.1994,298.15
0.8006,298.15
0.2958,298.15
0.7042,298.15
0.4002,298.15
