MOL_1,MOL_2,logV
Cc1ccccc1,CCc1ccccc1,-7.49825
CCc1ccccc1,Cc1ccccc1,-7.38586
Cc1ccccc1,CCc1ccccc1,-7.49465
CCc1ccccc1,Cc1ccccc1,-7.40022
Cc1ccccc1,CCc1ccccc1,-7.4924
CCc1ccccc1,Cc1ccccc1,-7.37194
Cc1ccccc1,CCc1ccccc1,-7.49487
Cc1ccccc1,CCc1ccccc1,-7.49194
CCc1ccccc1,Cc1ccccc1,-7.3729
CCc1ccccc1,Cc1ccccc1,-7.37072
Cc1ccccc1,CCc1ccccc1,-7.50012
CCc1ccccc1,Cc1ccccc1,-7.36962
Cc1ccccc1,CCc1ccccc1,-7.50274
CCc1ccccc1,Cc1ccccc1,-7.37016
Cc1ccccc1,CCc1ccccc1,-7.50213
CCc1ccccc1,Cc1ccccc1,-7.37107
Cc1ccccc1,CCc1ccccc1,-7.50129
CCc1ccccc1,Cc1ccccc1,-7.37421
Cc1ccccc1,CCc1ccccc1,-7.49913
CCc1ccccc1,Cc1ccccc1,-7.38014
Cc1ccccc1,CCc1ccccc1,-7.49645
CCc1ccccc1,Cc1ccccc1,-7.39186
Cc1ccccc1,CCc1ccccc1,-7.49351
CCc1ccccc1,Cc1ccccc1,-7.40395
Cc1ccccc1,CCc1ccccc1,-7.4922
CCc1ccccc1,Cc1ccccc1,-7.43125
Cc1ccccc1,CCc1ccccc1,-7.54653
Cc1ccccc1,CCc1ccccc1,-7.5505
CCc1ccccc1,Cc1ccccc1,-7.43128
CCc1ccccc1,Cc1ccccc1,-7.43086
Cc1ccccc1,CCc1ccccc1,-7.55058
CCc1ccccc1,Cc1ccccc1,-7.43031
Cc1ccccc1,CCc1ccccc1,-7.55296
CCc1ccccc1,Cc1ccccc1,-7.42974
Cc1ccccc1,CCc1ccccc1,-7.5543
CCc1ccccc1,Cc1ccccc1,-7.4298
Cc1ccccc1,CCc1ccccc1,-7.55425
CCc1ccccc1,Cc1ccccc1,-7.43009
Cc1ccccc1,CCc1ccccc1,-7.55398
CCc1ccccc1,Cc1ccccc1,-7.4312
Cc1ccccc1,CCc1ccccc1,-7.55322
CCc1ccccc1,Cc1ccccc1,-7.4334
Cc1ccccc1,CCc1ccccc1,-7.55223
CCc1ccccc1,Cc1ccccc1,-7.43787
Cc1ccccc1,CCc1ccccc1,-7.55111
CCc1ccccc1,Cc1ccccc1,-7.44254
