Smiles,T,Property
CCCCCCC(=O)OCC,298,-6.76683
CCCCCCC(=O)OCC,323,-7.13123
CCCC(=O)OC(=O)CCC,298,-7.34055
CCCC(=O)OC(=O)CCC,323,-7.62572
CCCCCCCC(=O)OCC,273,-6.06892
CCCCCCCC(=O)OCC,298,-6.55898
CCCCCCCC(=O)OCC,323,-6.94958
CCCCCCCCCCCC(=O)OCC,273,-5.14596
CCCCCCCCCCCC(=O)OCC,298,-5.80108
CCCCCCCCCCCC(=O)OCC,323,-6.29289
CCCOC(=O)CC,273,-7.05316
CCCOC(=O)CC,298,-7.35658
CCCOC(=O)CC,323,-7.63096
Cc1ccc(C)cc1,298,-7.40645
Cc1ccc(C)cc1,323,-7.68517
Cc1ccc(Cl)cc1,298,-7.09144
Cc1ccc(Cl)cc1,323,-7.38327
CCCCCC(=O)OC,298,-7.09247
CCCCCC(=O)OC,323,-7.41486
CCC(C)(CC)CC,273,-7.16897
CCC(C)(CC)CC,298,-7.51257
CCC(C)(CC)CC,323,-7.79547
CCC(CC)(CC)CC,298,-7.19984
CCC(CC)(CC)CC,323,-7.51186
CCCCCCC(=O)OC,298,-6.87744
CCCCCCC(=O)OC,323,-7.22717
BrCCBr,298,-6.42878
BrCCBr,323,-6.78756
CCCBr,273,-7.35406
CCCBr,298,-7.59476
CCCBr,323,-7.82297
C=CCBr,273,-7.38639
C=CCBr,298,-7.65763
C=CCBr,323,-7.8896
CCCS,273,-7.56569
CCCS,298,-7.8105
CCCS,323,-8.00042
C=CCCl,273,-7.7993
C=CCCl,298,-8.0659
C=CCCl,323,-8.28481
ClCCCl,273,-6.8061
ClCCCl,298,-7.16367
ClCCCl,323,-7.46238
OCCCl,298,-5.80972
OCCCl,323,-6.43762
ClCCC(Cl)(Cl)Cl,298,-6.46573
ClCCC(Cl)(Cl)Cl,323,-6.65941
CCCI,273,-6.98129
CCCI,298,-7.26194
CCCI,323,-7.50587
CC(C)(C)CC(C)(C)C,273,-6.68589
CC(C)(C)CC(C)(C)C,298,-7.12368
CC(C)(C)CC(C)(C)C,323,-7.47779
CCCN,273,-7.56969
CCCN,298,-7.90596
CCCN,323,-8.17936
CCC#N,298,-7.79388
CCC#N,323,-8.04082
C=CC#N,298,-7.98497
C=CC#N,323,-8.14467
N#CCCl,298,-7.0572
N#CCCl,323,-7.36523
NCCN,298,-6.55837
NCCN,323,-7.01107
C#CCO,273,-5.56825
C#CCO,298,-6.17466
C#CCO,323,-6.68457
CC(C)CCCCC(C)C,273,-6.78428
CC(C)CCCCC(C)C,298,-7.16528
CC(C)CCCCC(C)C,323,-7.46269
COC=O,273,-7.74793
COC=O,298,-8.01557
COC=O,323,-8.24509
CCCc1ccc(C)cc1,298,-7.00451
CCCc1ccc(C)cc1,323,-7.32651
CCCCCCc1ccccc1,273,-5.96344
CCCCCCc1ccccc1,298,-6.48881
