mol1,mol2,Property
CCc1ccccc1,Cc1ccccc1,0.00147891
Cc1ccccc1,CCc1ccccc1,-0.003745
CCc1ccccc1,Cc1ccccc1,0.00118929
Cc1ccccc1,CCc1ccccc1,-0.00347603
CCc1ccccc1,Cc1ccccc1,8.00E-05
Cc1ccccc1,CCc1ccccc1,-0.00271669
CCc1ccccc1,Cc1ccccc1,-0.00212125
Cc1ccccc1,CCc1ccccc1,-0.00172148
CCc1ccccc1,Cc1ccccc1,-0.00658564
Cc1ccccc1,CCc1ccccc1,-0.000603182
CCc1ccccc1,Cc1ccccc1,-0.0112551
Cc1ccccc1,CCc1ccccc1,-9.90E-05
CCc1ccccc1,Cc1ccccc1,-1.80E-05
Cc1ccccc1,CCc1ccccc1,-0.000240029
CCc1ccccc1,Cc1ccccc1,-0.00013901
Cc1ccccc1,CCc1ccccc1,0.0010994
CCc1ccccc1,Cc1ccccc1,-0.00031605
Cc1ccccc1,CCc1ccccc1,0.00196806
CCc1ccccc1,Cc1ccccc1,-0.0004481
Cc1ccccc1,CCc1ccccc1,0.00235722
CCc1ccccc1,Cc1ccccc1,-0.000499125
Cc1ccccc1,CCc1ccccc1,0.00247693
CCc1ccccc1,Cc1ccccc1,-0.000305047
Cc1ccccc1,CCc1ccccc1,0.00223749
CCc1ccccc1,Cc1ccccc1,1.00E-04
Cc1ccccc1,CCc1ccccc1,0.00188822
CCc1ccccc1,Cc1ccccc1,0.00155878
Cc1ccccc1,CCc1ccccc1,0.00108941
CCc1ccccc1,Cc1ccccc1,0.00405178
Cc1ccccc1,CCc1ccccc1,0.000389924
CCc1ccccc1,Cc1ccccc1,-8.10E-05
Cc1ccccc1,CCc1ccccc1,-0.00530404
CCc1ccccc1,Cc1ccccc1,-0.000629198
Cc1ccccc1,CCc1ccccc1,0.000719741
CCc1ccccc1,Cc1ccccc1,-0.00147208
Cc1ccccc1,CCc1ccccc1,0.00485818
CCc1ccccc1,Cc1ccccc1,-0.00218038
Cc1ccccc1,CCc1ccccc1,0.00696568
CCc1ccccc1,Cc1ccccc1,-0.00235878
Cc1ccccc1,CCc1ccccc1,0.00764074
CCc1ccccc1,Cc1ccccc1,-0.00113865
Cc1ccccc1,CCc1ccccc1,0.00657832
CCc1ccccc1,Cc1ccccc1,0.00377287
Cc1ccccc1,CCc1ccccc1,0.0039223
CCc1ccccc1,Cc1ccccc1,0.0126595
Cc1ccccc1,CCc1ccccc1,0.00141899
CCc1ccccc1,Cc1ccccc1,-0.000102005
Cc1ccccc1,CCc1ccccc1,0.000819664
CCc1ccccc1,Cc1ccccc1,-0.000458105
Cc1ccccc1,CCc1ccccc1,-0.000558156
CCc1ccccc1,Cc1ccccc1,-0.000264035
Cc1ccccc1,CCc1ccccc1,0.00176844
CCc1ccccc1,Cc1ccccc1,-0.00121874
Cc1ccccc1,CCc1ccccc1,0.00386253
CCc1ccccc1,Cc1ccccc1,-0.000484117
Cc1ccccc1,CCc1ccccc1,0.002447
CCc1ccccc1,Cc1ccccc1,-0.00241792
Cc1ccccc1,CCc1ccccc1,0.00750179
CCc1ccccc1,Cc1ccccc1,-0.000495123
Cc1ccccc1,CCc1ccccc1,0.00246695
CCc1ccccc1,Cc1ccccc1,-0.0027197
Cc1ccccc1,CCc1ccccc1,0.00804753
CCc1ccccc1,Cc1ccccc1,-0.000257033
Cc1ccccc1,CCc1ccccc1,0.00218761
CCc1ccccc1,Cc1ccccc1,-0.00222648
Cc1ccccc1,CCc1ccccc1,0.00750179
CCc1ccccc1,Cc1ccccc1,0.000319949
Cc1ccccc1,CCc1ccccc1,0.00173849
CCc1ccccc1,Cc1ccccc1,-0.000461106
Cc1ccccc1,CCc1ccccc1,0.00610135
CCc1ccccc1,Cc1ccccc1,0.00131913
Cc1ccccc1,CCc1ccccc1,0.00118929
CCc1ccccc1,Cc1ccccc1,0.00294566
Cc1ccccc1,CCc1ccccc1,0.00427087
CCc1ccccc1,Cc1ccccc1,0.00272628
Cc1ccccc1,CCc1ccccc1,0.000699755
CCc1ccccc1,Cc1ccccc1,0.0078888
Cc1ccccc1,CCc1ccccc1,0.0025268
CCc1ccccc1,Cc1ccccc1,0.00586278
Cc1ccccc1,CCc1ccccc1,0.00013999
CCc1ccccc1,Cc1ccccc1,0.0192436
Cc1ccccc1,CCc1ccccc1,0.000499875
CCc1ccccc1,COCCO,-0.00154419
COCCO,CCc1ccccc1,-0.448889
CCc1ccccc1,COCCO,-0.0116668
COCCO,CCc1ccccc1,-0.361923
CCc1ccccc1,COCCO,-0.0318179
COCCO,CCc1ccccc1,-0.282233
CCc1ccccc1,COCCO,-0.062051
COCCO,CCc1ccccc1,-0.21193
CCc1ccccc1,COCCO,-0.103323
COCCO,CCc1ccccc1,-0.15038
CCc1ccccc1,COCCO,-0.127042
COCCO,CCc1ccccc1,-0.124404
CCc1ccccc1,COCCO,-0.153422
COCCO,CCc1ccccc1,-0.10074
CCc1ccccc1,COCCO,-0.211933
COCCO,CCc1ccccc1,-0.0619009
CCc1ccccc1,COCCO,-0.281923
COCCO,CCc1ccccc1,-0.0319066
CCc1ccccc1,COCCO,-0.365482
COCCO,CCc1ccccc1,-0.0112339
CCc1ccccc1,COCCO,-0.461022
COCCO,CCc1ccccc1,-0.0010996
CCc1ccccc1,COCCO,-0.00154419
COCCO,CCc1ccccc1,-0.448889
CCc1ccccc1,COCCO,-0.0116668
COCCO,CCc1ccccc1,-0.361923
CCc1ccccc1,COCCO,-0.0318179
COCCO,CCc1ccccc1,-0.282233
CCc1ccccc1,COCCO,-0.062051
COCCO,CCc1ccccc1,-0.21193
CCc1ccccc1,COCCO,-0.103323
COCCO,CCc1ccccc1,-0.15038
CCc1ccccc1,COCCO,-0.127042
COCCO,CCc1ccccc1,-0.124404
CCc1ccccc1,COCCO,-0.153422
COCCO,CCc1ccccc1,-0.10074
CCc1ccccc1,COCCO,-0.211933
COCCO,CCc1ccccc1,-0.0619009
CCc1ccccc1,COCCO,-0.281923
COCCO,CCc1ccccc1,-0.0319066
CCc1ccccc1,COCCO,-0.365482
COCCO,CCc1ccccc1,-0.0112339
CCc1ccccc1,COCCO,-0.461022
COCCO,CCc1ccccc1,-0.0010996
CCc1ccccc1,CCCCCC,-0.000885392
CCCCCC,CCc1ccccc1,-0.241747
CCc1ccccc1,CCCCCC,-0.0135666
CCCCCC,CCc1ccccc1,-0.190367
CCc1ccccc1,CCCCCC,-0.0324271
CCCCCC,CCc1ccccc1,-0.144584
CCc1ccccc1,CCCCCC,-0.0670676
CCCCCC,CCc1ccccc1,-0.0938679
CCc1ccccc1,CCCCCC,-0.0993541
CCCCCC,CCc1ccccc1,-0.0686322
CCc1ccccc1,CCCCCC,-0.131008
CCCCCC,CCc1ccccc1,-0.0544372
CCc1ccccc1,CCCCCC,-0.00124778
CCCCCC,CCc1ccccc1,-0.0889766
CCc1ccccc1,CCCCCC,-0.00449107
CCCCCC,CCc1ccccc1,-0.0747828
CCc1ccccc1,CCCCCC,-0.00315297
CCCCCC,CCc1ccccc1,-0.0774611
CCc1ccccc1,CCCCCC,0.0176631
CCCCCC,CCc1ccccc1,-0.106042
CCc1ccccc1,CCCCCC,0.0380855
CCCCCC,CCc1ccccc1,-0.12378
CCc1ccccc1,CCCCCC,0.00188822
CCCCCC,CCc1ccccc1,-0.108184
CCc1ccccc1,CCCCCC,-0.000623194
CCCCCC,CCc1ccccc1,-0.352132
CCc1ccccc1,CCCCCC,-0.0201231
CCCCCC,CCc1ccccc1,-0.273883
CCc1ccccc1,CCCCCC,-0.0535791
CCCCCC,CCc1ccccc1,-0.193086
CCc1ccccc1,CCCCCC,-0.12829
CCCCCC,CCc1ccccc1,-0.0850722
CCc1ccccc1,CCCCCC,-0.198664
CCCCCC,CCc1ccccc1,-0.0287843
CCc1ccccc1,CCCCCC,-0.227034
CCCCCC,CCc1ccccc1,-0.0156021
CCc1ccccc1,CCCCCC,0.000729734
CCCCCC,CCc1ccccc1,-0.356212
CCc1ccccc1,CCCCCC,0.0013391
CCCCCC,CCc1ccccc1,-0.366274
CCc1ccccc1,CCCCCC,-0.00570424
CCCCCC,CCc1ccccc1,-0.325992
CCc1ccccc1,CCCCCC,-0.0145179
CCCCCC,CCc1ccccc1,-0.291898
CCc1ccccc1,CCCCCC,-0.0298347
CCCCCC,CCc1ccccc1,-0.246521
CCc1ccccc1,CCCCCC,-0.0497618
CCCCCC,CCc1ccccc1,-0.20069
CCc1ccccc1,CCCCCC,-0.072932
CCCCCC,CCc1ccccc1,-0.158276
CCc1ccccc1,CCCCCC,-0.102151
CCCCCC,CCc1ccccc1,-0.115663
CCc1ccccc1,CCCCCC,-0.129288
CCCCCC,CCc1ccccc1,-0.0839894
CCc1ccccc1,CCCCCC,-0.156758
CCCCCC,CCc1ccccc1,-0.0580815
CCc1ccccc1,CCCCCC,-0.178944
CCCCCC,CCc1ccccc1,-0.0411002
CCc1ccccc1,CCCCCC,-0.203059
CCCCCC,CCc1ccccc1,-0.0263799
CCc1ccccc1,CCCCCC,-0.219626
CCCCCC,CCc1ccccc1,-0.0185154
CCc1ccccc1,CCCCCC,-0.235849
CCCCCC,CCc1ccccc1,-0.0126274
CCc1ccccc1,CCCCCC,-0.247758
CCCCCC,CCc1ccccc1,-0.00940004
CCc1ccccc1,CCCCCC,-0.275864
CCCCCC,CCc1ccccc1,-0.00449509
CCc1ccccc1,CCCCCC,-0.31255
CCCCCC,CCc1ccccc1,-0.00131887
CCc1ccccc1,C1CCCCC1,-0.00262945
C1CCCCC1,CCc1ccccc1,-0.360684
CCc1ccccc1,C1CCCCC1,-0.0107566
C1CCCCC1,CCc1ccccc1,-0.314649
CCc1ccccc1,C1CCCCC1,-0.0258605
C1CCCCC1,CCc1ccccc1,-0.26939
CCc1ccccc1,C1CCCCC1,-0.0500393
C1CCCCC1,CCc1ccccc1,-0.224563
CCc1ccccc1,C1CCCCC1,-0.0888542
C1CCCCC1,CCc1ccccc1,-0.177407
CCc1ccccc1,C1CCCCC1,-0.145047
C1CCCCC1,CCc1ccccc1,-0.131689
CCc1ccccc1,C1CCCCC1,-0.232437
C1CCCCC1,CCc1ccccc1,-0.0849274
CCc1ccccc1,C1CCCCC1,-0.354302
C1CCCCC1,CCc1ccccc1,-0.0445351
CCc1ccccc1,C1CCCCC1,-0.536684
C1CCCCC1,CCc1ccccc1,-0.0126264
CCc1ccccc1,C1CCCCC1,-0.0883865
C1CCCCC1,CCc1ccccc1,-0.177874
CCc1ccccc1,C1CCCCC1,-0.00358241
C1CCCCC1,CCc1ccccc1,-0.352838
CCc1ccccc1,C1CCCCC1,-0.00358241
C1CCCCC1,CCc1ccccc1,-0.352838
CCc1ccccc1,C1CCCCC1,-0.0100584
C1CCCCC1,CCc1ccccc1,-0.317517
CCc1ccccc1,C1CCCCC1,-0.0100584
C1CCCCC1,CCc1ccccc1,-0.317517
CCc1ccccc1,C1CCCCC1,-0.0253076
C1CCCCC1,CCc1ccccc1,-0.270694
CCc1ccccc1,C1CCCCC1,-0.0253076
C1CCCCC1,CCc1ccccc1,-0.270694
CCc1ccccc1,C1CCCCC1,-0.0515049
C1CCCCC1,CCc1ccccc1,-0.222374
CCc1ccccc1,C1CCCCC1,-0.0515049
C1CCCCC1,CCc1ccccc1,-0.222374
CCc1ccccc1,C1CCCCC1,-0.0894642
C1CCCCC1,CCc1ccccc1,-0.1768
CCc1ccccc1,C1CCCCC1,-0.0894642
C1CCCCC1,CCc1ccccc1,-0.1768
CCc1ccccc1,C1CCCCC1,-0.14283
C1CCCCC1,CCc1ccccc1,-0.133186
CCc1ccccc1,C1CCCCC1,-0.14283
C1CCCCC1,CCc1ccccc1,-0.133186
CCc1ccccc1,C1CCCCC1,-0.228324
C1CCCCC1,CCc1ccccc1,-0.0867034
CCc1ccccc1,C1CCCCC1,-0.228324
C1CCCCC1,CCc1ccccc1,-0.0867034
CCc1ccccc1,C1CCCCC1,-0.339154
C1CCCCC1,CCc1ccccc1,-0.0484941
CCc1ccccc1,C1CCCCC1,-0.339154
C1CCCCC1,CCc1ccccc1,-0.0484941
CCc1ccccc1,C1CCCCC1,-0.561714
C1CCCCC1,CCc1ccccc1,-0.0100301
CCc1ccccc1,C1CCCCC1,-0.561714
C1CCCCC1,CCc1ccccc1,-0.0100301
CCc1ccccc1,CCCCCCCC,-0.218639
CCCCCCCC,CCc1ccccc1,-0.00028204
CCc1ccccc1,CCCCCCCC,-0.207511
CCCCCCCC,CCc1ccccc1,-0.00124477
CCc1ccccc1,CCCCCCCC,-0.178494
CCCCCCCC,CCc1ccccc1,-0.00663698
CCc1ccccc1,CCCCCCCC,-0.147028
CCCCCCCC,CCc1ccccc1,-0.0175033
CCc1ccccc1,CCCCCCCC,-0.114118
CCCCCCCC,CCc1ccccc1,-0.0359049
CCc1ccccc1,CCCCCCCC,-0.0842603
CCCCCCCC,CCc1ccccc1,-0.0614882
CCc1ccccc1,CCCCCCCC,-0.0558267
CCCCCCCC,CCc1ccccc1,-0.0986155
CCc1ccccc1,CCCCCCCC,-0.0349694
CCCCCCCC,CCc1ccccc1,-0.140237
CCc1ccccc1,CCCCCCCC,-0.0172672
CCCCCCCC,CCc1ccccc1,-0.196392
CCc1ccccc1,CCCCCCCC,-0.00505978
CCCCCCCC,CCc1ccccc1,-0.268617
CCc1ccccc1,CCCCCCCC,-0.215256
CCCCCCCC,CCc1ccccc1,-0.00037407
CCc1ccccc1,CCCCCCCC,-0.203646
CCCCCCCC,CCc1ccccc1,-0.00137194
CCc1ccccc1,CCCCCCCC,-0.17487
CCCCCCCC,CCc1ccccc1,-0.00650612
CCc1ccccc1,CCCCCCCC,-0.145583
CCCCCCCC,CCc1ccccc1,-0.0160654
CCc1ccccc1,CCCCCCCC,-0.112906
CCCCCCCC,CCc1ccccc1,-0.0333376
CCc1ccccc1,CCCCCCCC,-0.0604647
CCCCCCCC,CCc1ccccc1,-0.0850972
CCc1ccccc1,CCCCCCCC,-0.0355919
CCCCCCCC,CCc1ccccc1,-0.130579
CCc1ccccc1,CCCCCCCC,-0.0180652
CCCCCCCC,CCc1ccccc1,-0.183182
CCc1ccccc1,CCCCCCCC,-0.00529097
CCCCCCCC,CCc1ccccc1,-0.254552
CCc1ccccc1,CCCCCCCC,-0.211014
