MolFrac_1,T
0.7044,303.15
1.0,303.15
0.0,308.15
0.0546,308.15
0.1152,308.15
0.1825,308.15
0.2572,308.15
0.3416,308.15
0.4094,308.15
0.4773,308.15
0.5836,308.15
0.7044,308.15
1.0,308.15
0.0,313.15
0.0546,313.15
0.1152,313.15
0.1825,313.15
0.2572,313.15
0.3416,313.15
0.4094,313.15
0.4773,313.15
0.5836,313.15
0.7044,313.15
1.0,313.15
0.0,298.15
0.0698,298.15
0.1417,298.15
0.221,298.15
0.3061,298.15
0.398,298.15
0.4979,298.15
0.606,298.15
0.7254,298.15
0.8556,298.15
1.0,298.15
0.0,303.15
0.0698,303.15
0.1417,303.15
0.221,303.15
0.3061,303.15
0.398,303.15
0.4979,303.15
0.606,303.15
0.7254,303.15
0.8556,303.15
1.0,303.15
0.0,308.15
0.0698,308.15
0.1417,308.15
0.221,308.15
0.3061,308.15
0.398,308.15
0.4979,308.15
0.606,308.15
0.7254,308.15
0.8556,308.15
1.0,308.15
0.0,313.15
0.0698,313.15
0.1417,313.15
0.221,313.15
0.3061,313.15
0.398,313.15
0.4979,313.15
0.606,313.15
0.7254,313.15
0.8556,313.15
1.0,313.15
0.0,298.15
0.0806,298.15
0.1668,298.15
0.2521,298.15
0.3443,298.15
0.4384,298.15
0.5392,298.15
0.644,298.15
0.7555,298.15
0.8741,298.15
1.0,298.15
0.0,303.15
0.0806,303.15
0.1668,303.15
0.2521,303.15
0.3443,303.15
0.4384,303.15
0.5392,303.15
0.644,303.15
0.7555,303.15
0.8741,303.15
1.0,303.15
0.0,308.15
0.0806,308.15
0.1668,308.15
0.2521,308.15
0.3443,308.15
0.4384,308.15
0.5392,308.15
0.644,308.15
0.7555,308.15
0.8741,308.15
1.0,308.15
0.0,313.15
0.0806,313.15
0.1668,313.15
0.2521,313.15
0.3443,313.15
0.4384,313.15
0.5392,313.15
0.644,313.15
0.7555,313.15
0.8741,313.15
1.0,313.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.0,298.15
0.3136,298.15
0.5696,298.15
0.817,298.15
1.0,298.15
0.0,298.15
0.3027,298.15
0.5488,298.15
0.7838,298.15
1.0,298.15
0.0,298.15
0.00784,298.15
0.0163,298.15
0.0185,298.15
0.0267,298.15
0.0,298.15
0.0231,298.15
0.0387,298.15
0.058,298.15
0.0,298.15
0.0574,298.15
0.0951,298.15
0.1329,298.15
0.1607,298.15
0.0,298.15
0.04866,298.15
0.1662,298.15
0.2057,298.15
0.2466,298.15
0.2858,298.15
0.4007,298.15
0.0,298.15
0.0035,298.15
0.004762,298.15
0.00539,298.15
0.0,298.15
0.00673,298.15
0.00998,298.15
0.0,298.15
0.0129,298.15
0.02162,298.15
0.0306,298.15
0.0,298.15
0.0185,298.15
0.0455,298.15
0.104,298.15
0.1897,298.15
0.0,298.15
0.0265,298.15
0.0489,298.15
0.0,298.15
0.214,298.15
0.3929999999999999,298.15
0.565,298.15
0.725,298.15
0.8690000000000001,298.15
1.0,298.15
0.0,298.15
0.0033399999999999,298.15
0.00509,298.15
0.00769,298.15
0.0087099999999999,298.15
0.0149,298.15
0.0,298.15
0.07815,298.15
0.18896,298.15
0.32641,298.15
0.44527,298.15
0.55324,298.15
0.7913600000000001,298.15
